instance_class,IBS_forward_bound,IBS_bi_min_bound,IBS_forward_idle,IBS_bi_min_idle,IBS_forward_alpha,IBS_bi_min_alpha,IBS_forward_walpha,IBS_bi_min_walpha,IBS_forward_gap,IBS_bi_min_gap,IGbob_30,IGbob_45,IGbob_90,wilcoxon_best
100_20,12.02498849421576,1.7935014470833663,3.0737759174605355,10.405227399590396,2.9426692548242785,9.65597188457942,21.35556604407636,0.42585955326406816,21.319400551726087,1.784544204333623,0.6073701168703656,0.546055742162022,0.4707584458917129,-
100_40,15.500000981000488,4.964450795287533,4.332129469155164,8.86674439325213,4.70955319569274,8.490719743011136,19.261121193106554,1.3247050965654692,19.28234280714799,4.986885997316853,0.7338796069378899,0.6794082234441139,0.5207479883973607,IGbob_90
100_60,15.537649547632645,5.839295440863632,4.590771640583525,8.890678402569534,4.59289267067519,8.235551045024126,17.51196283213897,2.548109023412807,17.6159187423151,5.7203177986161045,0.8021758708066077,0.6501121953907648,0.4839071103968221,IGbob_90
200_20,9.480818543928203,0.904203556381387,2.5732723338988484,10.987058012751412,2.398756685469059,10.01370694884864,19.55709113109113,0.9748818316456017,19.478364292207523,0.5528544196239633,0.44999662834846355,0.41618810833556796,0.28089764503158166,-
200_40,17.86243923307736,4.731169087954383,3.6953894226021218,14.791772273848135,3.791886379902203,13.944152193002946,19.644406682652836,-0.2559106893031874,19.841961995932,4.7471345658603665,0.8542863760117072,0.6902490569532197,0.5211774236395332,IBS_bi_min_walpha
200_60,17.843839620301654,6.987703403762678,4.652366581123462,15.043716699353357,5.115890910433696,15.066128106140164,18.67307566888043,1.1862961549456794,18.53565414922503,7.058176736926842,0.7975829719700156,0.6500169042278098,0.43042902390452353,IGbob_90
300_20,6.042343070471303,0.41599935640388763,1.7156484811985764,7.7116932437792425,1.7982821590778186,7.290749201921969,17.16083453692252,1.1546190040892077,17.009935629525152,0.008722896582243345,0.4391925393541777,0.34780491052353024,0.2747596205335266,IBS_bi_min_gap
300_40,17.300599631756704,5.197139297593804,3.6778114145823215,16.952717247062317,4.1385256715976,15.912673452838794,18.76370426385395,-0.6906230811855372,18.759814405112884,5.11200080427132,0.7341344382873212,0.6042015678082906,0.43043206025036823,IBS_bi_min_walpha
300_60,18.13150109501883,7.564156384504793,5.004336728982185,12.466016910471954,5.48506103443144,11.999263476996221,18.081971347166725,0.4058580204110333,18.113149727662144,7.3398921943710675,0.7925992301496877,0.6739030600524661,0.4751525679076251,-
400_20,4.875424773145613,0.32183084334390905,1.4073949385009632,4.314913337686565,1.4582558792927298,4.001153281102004,14.843333770725646,0.8330715884214763,14.74932235891283,-0.17479293207671456,0.2726885956074033,0.20337793306069724,0.15894689552493907,IBS_bi_min_gap
400_40,15.31455269307737,4.745719649827998,2.7835170687208075,15.871123465291754,3.3169739824607007,15.878848265767644,17.903899018348408,-1.0435422393254101,17.960061660792412,5.155159784886203,0.6116115463137023,0.4905857171276396,0.28204862114534707,IBS_bi_min_walpha
400_60,17.49667268422925,7.664002663898607,4.452269764588645,17.339321988822295,4.888473377255737,17.461947416598687,17.140725374728085,-0.4527077769704991,17.1003283103438,7.4236780076096025,0.6387203666445431,0.5325679225814761,0.3160822536855961,IBS_bi_min_walpha
500_20,4.11228434349583,0.21833473098404355,1.0049538898792092,3.182623190394113,1.0642854831318822,3.137436029328155,14.332690243796616,0.8753049850485567,14.31604224585142,-0.14449043661193614,0.20665413400606258,0.1946881978592085,0.14261171425236233,IBS_bi_min_gap
500_40,14.68578476903711,5.04023336438508,2.843445804383457,13.666540847540796,3.1595628212703994,13.934960102213202,17.286250571901906,-0.6885205034582791,17.262860065121217,4.907138734210007,0.6043038671461876,0.49466485906543955,0.31811691727412816,IBS_bi_min_walpha
500_60,17.075624200723095,8.090390452380337,5.39897528661708,17.076281848744006,5.973751377124202,16.843635997588002,16.462611869571706,-1.044831810260841,16.478321431733544,7.634990429036563,0.45430295673618926,0.3571801471283905,0.19585026861739624,IBS_bi_min_walpha
600_20,3.326644717392683,0.2780307781737633,0.9999288662868036,3.5292548329026006,0.7807235281062446,3.343781367955279,13.335740217668874,0.8669233450310043,13.183777407467947,-0.11804971890353815,0.17137728149269443,0.144877337108478,0.10402875741069799,IBS_bi_min_gap
600_40,13.893189879039781,5.0483801630565335,2.580846758565788,16.168461332635232,2.5801391905272,16.80914713732922,16.146278046048547,-0.5704700916499316,16.17396005730109,4.724289774044349,0.4029035453642512,0.29577668442508226,0.1585458794920305,IBS_bi_min_walpha
600_60,17.470694991770763,8.091414637655639,5.022680886080918,12.77683244226436,5.603788188467372,12.339767592551329,15.842329392247217,-1.1488008187088616,15.804701870924347,7.381682607337341,0.5469562865365281,0.44244502508662026,0.27472721233794395,IBS_bi_min_walpha
700_20,3.049899940464107,0.15800534952385795,0.8660546186134956,2.4540682650498313,0.8863412476252049,2.2326684647639023,12.351907612945059,0.9538533113219829,12.204059487837473,-0.11838601501822058,0.12189876571677508,0.1015741618603565,0.08269765417933714,IBS_bi_min_gap
700_40,12.822929762849757,4.598362757245606,2.145455630760268,12.591002231558663,2.3768916517656864,11.90448535402179,15.775669865991045,-0.4366808016689756,15.724064371887312,4.107563894146087,0.3864984377564953,0.30904067064490975,0.16318848926908466,IBS_bi_min_walpha
700_60,16.220890800626766,7.9288914138394615,4.895768107576348,15.991753589708377,4.643322931848568,15.511472047596959,15.817673260997333,-1.378892989907432,15.835196524801495,7.455934452973233,0.45107675218469784,0.35920392723118866,0.20145031904100086,IBS_bi_min_walpha
800_20,2.797098691274196,0.21064449538247101,0.8142957854413291,2.1208696558206905,0.8413288692266139,2.053469469841204,11.525120336810485,0.7785576105098697,11.326307817153431,-0.10853249822739477,0.10427006805512382,0.08017255346393097,0.05682337624878673,IBS_bi_min_gap
800_40,11.051300181693213,4.080084173783972,2.1970523383830396,14.593887489879254,2.2512127248342275,13.623436286251003,15.172065917559573,-0.45818479455370487,15.091095301910153,3.8989236698797805,0.36103744605688337,0.26787496899743013,0.14655604572715586,IBS_bi_min_walpha
800_60,15.449790944793955,7.841529583100429,4.611608042713636,16.037847548243256,4.987318466858268,16.35495890096491,15.365843314059125,-1.4205076295856045,15.391381311402185,7.674652739455523,0.45419702004139656,0.3546771033695653,0.21484152062567524,IBS_bi_min_walpha
